"ID de Producto";"Color";"Talla";"Cantidad";"Fecha"
"12";"NEGRO";"XL";"1";"19/06/2026"
"3";"BEIGE";"XL";"1";"01/01/2018"
"5";"NEGRO";"L";"8";"01/01/2018"
"4";"NEGRO";"L";"16";"01/01/2018"
"5";"BEIGE";"L";"3";"01/01/2018"
"9";"NEGRO";"M";"14";"01/01/2018"
"4";"NEGRO";"L";"12";"01/01/2018"
"8";"NEGRO";"L";"16";"01/01/2018"
"4";"VINO";"L";"3";"01/01/2018"
"5";"BEIGE";"L";"3";"01/01/2018"
"6";"BLANCO";"34";"15";"01/01/2018"
"9";"BLANCO";"S";"9";"01/01/2018"
"10";"ROSA";"M";"2";"01/01/2018"
"6";"BLANCO";"34";"8";"01/01/2018"
"12";"NEGRO";"XL";"15";"01/01/2018"
"11";"VERDE";"M";"2";"01/01/2018"
"5";"NEGRO";"M";"12";"01/01/2018"
"6";"BLANCO";"34";"7";"01/01/2018"
"8";"BEIGE";"XL";"1";"01/01/2018"
"11";"BLANCO";"M";"9";"01/01/2018"
"9";"NEGRO";"S";"13";"01/01/2018"
"11";"BLANCO";"L";"6";"01/01/2018"
"7";"PLOMO";"M";"2";"01/01/2018"
"4";"VINO";"L";"2";"01/01/2018"
"4";"VINO";"L";"3";"01/01/2018"
"9";"BLANCO";"M";"18";"01/01/2018"
"4";"NEGRO";"XL";"17";"01/01/2018"
"3";"NEGRO";"XL";"11";"01/01/2018"
"10";"ROSA";"M";"1";"01/01/2018"
"9";"BLANCO";"S";"17";"01/01/2018"
"6";"BLANCO";"32";"9";"01/01/2018"
"11";"VERDE";"L";"3";"01/01/2018"
"10";"ROSA";"L";"1";"01/01/2018"
"5";"BLANCO";"L";"8";"01/01/2018"
"5";"BLANCO";"L";"7";"01/01/2018"
"8";"NEGRO";"XL";"13";"01/01/2018"
"5";"BLANCO";"S";"7";"01/01/2018"
"10";"BEIGE";"L";"1";"01/01/2018"
"3";"NEGRO";"XL";"8";"01/01/2018"
"3";"BEIGE";"XL";"2";"01/01/2018"
"3";"NEGRO";"XL";"9";"01/01/2018"
"4";"NEGRO";"L";"10";"01/01/2018"
"10";"BEIGE";"M";"2";"01/01/2018"
"12";"NEGRO";"XL";"15";"01/01/2018"
"11";"BLANCO";"L";"10";"01/01/2018"
"11";"VERDE";"M";"3";"01/01/2018"
"5";"BLANCO";"S";"16";"01/01/2018"
"3";"BEIGE";"L";"2";"01/01/2018"
"7";"PLOMO";"L";"3";"01/01/2018"
"5";"BEIGE";"S";"1";"01/01/2018"
"5";"NEGRO";"S";"13";"01/01/2018"
"10";"ROSA";"M";"2";"01/01/2018"
"11";"DORADO";"M";"7";"01/01/2018"
"5";"NEGRO";"L";"15";"01/01/2018"
"4";"NEGRO";"L";"8";"01/01/2018"
"5";"BLANCO";"S";"17";"01/01/2018"
"7";"BLANCO";"L";"13";"01/01/2018"
"11";"DORADO";"L";"9";"01/01/2018"
"5";"BEIGE";"S";"3";"01/01/2018"
"9";"BLANCO";"M";"15";"01/01/2018"
"3";"BEIGE";"XL";"3";"01/01/2018"
"10";"BEIGE";"L";"1";"01/01/2018"
"5";"BEIGE";"M";"3";"01/01/2018"
"10";"BEIGE";"M";"1";"01/01/2018"
"5";"BLANCO";"S";"6";"01/01/2018"
"12";"BLANCO";"XL";"16";"01/01/2018"
"3";"NEGRO";"L";"16";"01/01/2018"
"3";"NEGRO";"L";"14";"01/01/2018"
"11";"BLANCO";"M";"6";"01/01/2018"
"7";"PLOMO";"M";"1";"01/01/2018"
"3";"NEGRO";"L";"15";"02/01/2018"
"5";"BLANCO";"L";"8";"02/01/2018"
"11";"VERDE";"L";"2";"02/01/2018"
"12";"BLANCO";"L";"15";"02/01/2018"
"6";"BLANCO";"34";"14";"02/01/2018"
"8";"BEIGE";"L";"1";"02/01/2018"
"5";"NEGRO";"M";"13";"02/01/2018"
"12";"NEGRO";"XL";"11";"02/01/2018"
"12";"BLANCO";"XL";"14";"02/01/2018"
"5";"BLANCO";"S";"17";"02/01/2018"
