ID de Producto,color_num,talla_num,mes,es_campana,ventas_mes_pasado,cantidad_vendida
1,0,0,1,1,0.0,58
1,0,0,2,1,58.0,45
1,0,0,3,1,45.0,635
1,0,0,4,0,635.0,38
1,0,0,5,0,38.0,45
1,0,0,6,0,45.0,58
1,0,0,7,1,58.0,40
1,0,0,8,0,40.0,50
1,0,0,9,0,50.0,42
1,0,0,10,0,42.0,48
1,0,0,11,0,48.0,33
1,0,0,12,1,33.0,75
1,0,0,1,1,75.0,57
1,0,0,2,1,57.0,52
1,0,0,3,1,52.0,608
1,0,0,4,0,608.0,43
1,0,0,5,0,43.0,36
1,0,0,6,0,36.0,50
1,0,0,7,1,50.0,50
1,0,0,8,0,50.0,38
1,0,0,9,0,38.0,26
1,0,0,10,0,26.0,32
1,0,0,11,0,32.0,45
1,0,0,12,1,45.0,72
1,0,0,1,1,72.0,55
1,0,0,2,1,55.0,35
1,0,0,3,1,35.0,560
1,0,0,4,0,560.0,45
1,0,0,5,0,45.0,65
1,0,0,6,0,65.0,39
1,0,0,7,1,39.0,66
1,0,0,8,0,66.0,41
1,0,0,9,0,41.0,60
1,0,0,10,0,60.0,38
1,0,0,11,0,38.0,46
1,0,0,12,1,46.0,49
1,0,0,1,1,49.0,32
1,0,0,2,1,32.0,40
1,0,0,3,1,40.0,421
1,0,0,4,0,421.0,50
1,0,0,5,0,50.0,40
1,0,0,6,0,40.0,56
1,0,0,7,1,56.0,55
1,0,0,8,0,55.0,50
1,0,0,9,0,50.0,50
1,0,0,10,0,50.0,44
1,0,0,11,0,44.0,31
1,0,0,12,1,31.0,54
1,0,0,1,1,54.0,62
1,0,0,2,1,62.0,53
1,0,0,3,1,53.0,413
1,0,0,4,0,413.0,26
1,0,0,5,0,26.0,48
1,0,0,6,0,48.0,54
1,0,0,7,1,54.0,25
1,0,0,8,0,25.0,52
1,0,0,9,0,52.0,41
1,0,0,10,0,41.0,48
1,0,0,11,0,48.0,42
1,0,0,12,1,42.0,54
1,0,0,1,1,54.0,54
1,0,0,2,1,54.0,33
1,0,0,3,1,33.0,680
1,0,0,4,0,680.0,39
1,0,0,5,0,39.0,47
1,0,0,6,0,47.0,44
1,0,0,7,1,44.0,30
1,0,0,8,0,30.0,33
1,0,0,9,0,33.0,35
1,0,0,10,0,35.0,51
1,0,0,11,0,51.0,42
1,0,0,12,1,42.0,46
1,0,0,1,1,46.0,41
1,0,0,2,1,41.0,48
1,0,0,3,1,48.0,705
1,0,0,4,0,705.0,34
1,0,0,5,0,34.0,64
1,0,0,6,0,64.0,29
1,0,0,7,1,29.0,54
1,0,0,8,0,54.0,50
1,0,0,9,0,50.0,50
1,0,0,10,0,50.0,56
1,0,0,11,0,56.0,37
1,0,0,12,1,37.0,43
1,0,0,1,1,43.0,39
1,0,0,2,1,39.0,41
1,0,0,3,1,41.0,595
1,0,0,4,0,595.0,44
1,0,0,5,0,44.0,34
1,0,0,6,0,34.0,36
1,0,0,7,1,36.0,59
1,0,0,8,0,59.0,55
1,0,0,9,0,55.0,35
1,0,0,10,0,35.0,42
1,0,0,11,0,42.0,40
1,0,0,12,1,40.0,51
1,0,1,1,1,0.0,27
1,0,1,2,1,27.0,44
1,0,1,3,1,44.0,617
1,0,1,4,0,617.0,45
1,0,1,5,0,45.0,55
1,0,1,6,0,55.0,42
1,0,1,7,1,42.0,60
1,0,1,8,0,60.0,71
1,0,1,9,0,71.0,34
1,0,1,10,0,34.0,53
1,0,1,11,0,53.0,43
1,0,1,12,1,43.0,27
1,0,1,1,1,27.0,48
1,0,1,2,1,48.0,37
1,0,1,3,1,37.0,762
1,0,1,4,0,762.0,44
1,0,1,5,0,44.0,50
1,0,1,6,0,50.0,32
1,0,1,7,1,32.0,34
1,0,1,8,0,34.0,32
1,0,1,9,0,32.0,58
1,0,1,10,0,58.0,42
1,0,1,11,0,42.0,59
1,0,1,12,1,59.0,31
1,0,1,1,1,31.0,33
1,0,1,2,1,33.0,46
1,0,1,3,1,46.0,498
1,0,1,4,0,498.0,35
1,0,1,5,0,35.0,33
1,0,1,6,0,33.0,44
1,0,1,7,1,44.0,34
1,0,1,8,0,34.0,56
1,0,1,9,0,56.0,53
1,0,1,10,0,53.0,78
1,0,1,11,0,78.0,35
1,0,1,12,1,35.0,41
1,0,1,1,1,41.0,38
1,0,1,2,1,38.0,42
1,0,1,3,1,42.0,548
1,0,1,4,0,548.0,46
1,0,1,5,0,46.0,38
1,0,1,6,0,38.0,39
1,0,1,7,1,39.0,29
1,0,1,8,0,29.0,49
1,0,1,9,0,49.0,47
1,0,1,10,0,47.0,66
1,0,1,11,0,66.0,46
1,0,1,12,1,46.0,32
1,0,1,1,1,32.0,52
1,0,1,2,1,52.0,42
1,0,1,3,1,42.0,806
1,0,1,4,0,806.0,40
1,0,1,5,0,40.0,38
1,0,1,6,0,38.0,47
1,0,1,7,1,47.0,39
1,0,1,8,0,39.0,45
1,0,1,9,0,45.0,39
1,0,1,10,0,39.0,72
1,0,1,11,0,72.0,29
1,0,1,12,1,29.0,34
1,0,1,1,1,34.0,52
1,0,1,2,1,52.0,57
1,0,1,3,1,57.0,718
1,0,1,4,0,718.0,50
1,0,1,5,0,50.0,53
1,0,1,6,0,53.0,35
1,0,1,7,1,35.0,54
1,0,1,8,0,54.0,44
1,0,1,9,0,44.0,61
1,0,1,10,0,61.0,58
1,0,1,11,0,58.0,49
1,0,1,12,1,49.0,54
1,0,1,1,1,54.0,56
1,0,1,2,1,56.0,46
1,0,1,3,1,46.0,354
1,0,1,4,0,354.0,60
1,0,1,5,0,60.0,42
1,0,1,6,0,42.0,64
1,0,1,7,1,64.0,35
1,0,1,8,0,35.0,47
1,0,1,9,0,47.0,58
1,0,1,10,0,58.0,63
1,0,1,11,0,63.0,29
1,0,1,12,1,29.0,45
1,0,1,1,1,45.0,57
1,0,1,2,1,57.0,59
1,0,1,3,1,59.0,674
1,0,1,4,0,674.0,44
1,0,1,5,0,44.0,46
1,0,1,6,0,46.0,45
1,0,1,7,1,45.0,47
1,0,1,8,0,47.0,37
1,0,1,9,0,37.0,35
1,0,1,10,0,35.0,47
1,0,1,11,0,47.0,50
1,0,1,12,1,50.0,47
1,0,2,1,1,0.0,46
1,0,2,2,1,46.0,37
1,0,2,3,1,37.0,514
1,0,2,4,0,514.0,43
1,0,2,5,0,43.0,47
1,0,2,6,0,47.0,41
1,0,2,7,1,41.0,48
1,0,2,8,0,48.0,57
1,0,2,9,0,57.0,56
1,0,2,10,0,56.0,48
1,0,2,11,0,48.0,49
1,0,2,12,1,49.0,48
1,0,2,1,1,48.0,43
1,0,2,2,1,43.0,47
1,0,2,3,1,47.0,542
1,0,2,4,0,542.0,40
1,0,2,5,0,40.0,50
1,0,2,6,0,50.0,36
1,0,2,7,1,36.0,53
1,0,2,8,0,53.0,39
1,0,2,9,0,39.0,54
1,0,2,10,0,54.0,50
1,0,2,11,0,50.0,51
1,0,2,12,1,51.0,65
1,0,2,1,1,65.0,72
1,0,2,2,1,72.0,35
1,0,2,3,1,35.0,402
1,0,2,4,0,402.0,37
1,0,2,5,0,37.0,52
1,0,2,6,0,52.0,56
1,0,2,7,1,56.0,45
1,0,2,8,0,45.0,70
1,0,2,9,0,70.0,56
1,0,2,10,0,56.0,60
1,0,2,11,0,60.0,43
1,0,2,12,1,43.0,60
1,0,2,1,1,60.0,48
1,0,2,2,1,48.0,40
1,0,2,3,1,40.0,544
1,0,2,4,0,544.0,32
1,0,2,5,0,32.0,66
1,0,2,6,0,66.0,53
1,0,2,7,1,53.0,61
1,0,2,8,0,61.0,61
1,0,2,9,0,61.0,39
1,0,2,10,0,39.0,60
1,0,2,11,0,60.0,53
1,0,2,12,1,53.0,33
1,0,2,1,1,33.0,45
1,0,2,2,1,45.0,44
1,0,2,3,1,44.0,573
1,0,2,4,0,573.0,35
1,0,2,5,0,35.0,45
