ID de Producto;Color;Talla;Cantidad;Fecha
5;ROJO;L;17;01/01/2018
4;ROJO;L;11;01/01/2018
2;ROJO;L;10;01/01/2018
1;NEGRO;S;1;01/01/2018
4;PLOMO;L;1;01/01/2018
2;NEGRO;S;1;01/01/2018
3;PLOMO;L;1;01/01/2018
5;PLOMO;M;1;01/01/2018
5;BLANCO;S;3;01/01/2018
3;VERDE;M;15;01/01/2018
3;VERDE;L;16;01/01/2018
1;ROJO;L;13;01/01/2018
2;BLANCO;L;3;01/01/2018
5;ROJO;L;6;01/01/2018
5;PLOMO;M;2;01/01/2018
5;NEGRO;L;3;01/01/2018
5;AZUL;L;1;01/01/2018
1;PLOMO;S;1;01/01/2018
1;NEGRO;L;1;01/01/2018
4;AZUL;S;3;01/01/2018
3;BLANCO;M;2;01/01/2018
1;AZUL;M;1;01/01/2018
2;NEGRO;L;3;01/01/2018
4;VERDE;S;7;01/01/2018
1;NEGRO;S;2;01/01/2018
5;BLANCO;S;2;01/01/2018
2;NEGRO;S;1;01/01/2018
1;PLOMO;M;1;01/01/2018
5;VERDE;S;9;01/01/2018
3;VERDE;S;12;01/01/2018
4;BLANCO;L;1;01/01/2018
5;PLOMO;L;2;01/01/2018
5;VERDE;M;10;01/01/2018
4;VERDE;S;15;01/01/2018
4;BLANCO;S;3;01/01/2018
2;NEGRO;L;3;01/01/2018
4;BLANCO;L;2;01/01/2018
4;PLOMO;M;2;01/01/2018
3;PLOMO;M;1;01/01/2018
3;BLANCO;L;2;01/01/2018
5;BLANCO;S;2;01/01/2018
3;BLANCO;M;1;01/01/2018
2;ROJO;L;8;01/01/2018
5;AZUL;M;2;01/01/2018
5;ROJO;L;9;01/01/2018
5;VERDE;L;13;01/01/2018
1;ROJO;M;14;01/01/2018
5;NEGRO;M;1;01/01/2018
1;ROJO;L;17;01/01/2018
3;BLANCO;S;2;01/01/2018
3;ROJO;S;13;01/01/2018
2;VERDE;L;13;01/01/2018
5;PLOMO;S;3;01/01/2018
4;AZUL;S;3;01/01/2018
3;NEGRO;S;2;01/01/2018
4;PLOMO;S;3;01/01/2018
2;ROJO;S;9;01/01/2018
4;VERDE;M;8;01/01/2018
4;NEGRO;M;3;01/01/2018
3;AZUL;L;2;01/01/2018
5;VERDE;M;15;01/01/2018
3;AZUL;S;1;01/01/2018
3;ROJO;L;9;01/01/2018
4;AZUL;S;3;01/01/2018
2;ROJO;L;12;01/01/2018
4;PLOMO;S;2;01/01/2018
1;VERDE;M;7;01/01/2018
5;AZUL;S;3;02/01/2018
4;PLOMO;M;1;02/01/2018
4;VERDE;S;13;02/01/2018
5;VERDE;M;13;02/01/2018
4;AZUL;S;1;02/01/2018
5;AZUL;M;2;02/01/2018
2;NEGRO;L;2;02/01/2018
5;AZUL;L;2;02/01/2018
3;PLOMO;S;3;02/01/2018
4;ROJO;S;13;02/01/2018
2;PLOMO;M;2;02/01/2018
5;NEGRO;S;3;02/01/2018
2;PLOMO;L;1;02/01/2018
2;AZUL;M;3;02/01/2018
2;NEGRO;L;3;02/01/2018
4;ROJO;L;16;02/01/2018
2;ROJO;M;16;02/01/2018
1;BLANCO;S;1;02/01/2018
4;PLOMO;L;2;02/01/2018
4;BLANCO;M;2;02/01/2018
5;VERDE;S;11;02/01/2018
2;BLANCO;M;1;02/01/2018
4;ROJO;M;11;02/01/2018
5;PLOMO;L;1;02/01/2018
1;NEGRO;M;2;02/01/2018
3;VERDE;S;14;02/01/2018
2;NEGRO;S;1;02/01/2018
5;PLOMO;M;2;02/01/2018
2;ROJO;L;12;02/01/2018
3;NEGRO;M;1;02/01/2018
2;ROJO;S;17;02/01/2018
2;ROJO;S;15;02/01/2018
4;VERDE;L;12;02/01/2018
5;NEGRO;M;3;02/01/2018
5;VERDE;M;12;02/01/2018
1;AZUL;M;3;02/01/2018
2;BLANCO;L;1;02/01/2018
4;PLOMO;L;3;02/01/2018
2;BLANCO;L;1;02/01/2018
5;VERDE;M;11;02/01/2018
4;PLOMO;M;3;02/01/2018
3;NEGRO;S;2;02/01/2018
3;NEGRO;L;1;02/01/2018
5;ROJO;L;12;02/01/2018
2;BLANCO;M;2;02/01/2018
1;ROJO;L;12;02/01/2018
4;BLANCO;M;1;02/01/2018
3;ROJO;L;17;02/01/2018
2;VERDE;S;12;02/01/2018
3;NEGRO;S;2;02/01/2018
4;ROJO;S;16;02/01/2018
5;AZUL;S;1;02/01/2018
1;AZUL;M;3;02/01/2018
4;AZUL;M;1;02/01/2018
3;AZUL;S;1;02/01/2018
3;NEGRO;M;1;02/01/2018
4;AZUL;M;1;02/01/2018
2;PLOMO;L;1;02/01/2018
4;PLOMO;M;2;02/01/2018
2;ROJO;S;10;02/01/2018
1;VERDE;S;16;02/01/2018
